00|Scaffold|M-01|none|E-01,E-02,E-09,E-10|n/a|Database, server, seam, identity, authority and audit stand up, and a governed write commits with its audit entry or not at all|in progress|D-016,D-017,D-018|DN-001||R-001,R-002
01|Identity, authority and scope|M-01|SCR-082, SCR-088, SCR-096|E-03,E-04,E-05,E-06,E-08|00|Real sign-in; the switcher becomes a view selector over roles the person holds; the department boundary and the line-of-defence gate are enforced server side; the client renders capabilities the server computed; a second writer is told what changed|not started|D-015,D-016,D-028|DN-002,DN-003,DN-004,DN-005|ER-003|R-001,R-002,R-064
02|The one ladder|M-01|SCR-083, GAP-SCR-010|E-07,E-11,E-80|01|A scheduler fires rungs on time, to real named people resolved through the department-head map, with delivery, retry and confirmation, and every firing written to the log|not started||||R-007,R-065
03|Files, in and out|M-01,M-05|SCR-100, SCR-101, SCR-102|E-13,E-31|01|Real upload with scanning and limits, content-addressed storage with retention, and real export under the caller's own scope|not started||||R-023,R-024
04|Search and the command palette|M-01|SCR-081|n/a|01|Full-text search across records, clauses and evidence metadata, scoped to the caller's access|not started||||R-006
05|Empty states, refusals and the clock service|M-01|SCR-080, SCR-087, SCR-089, SCR-092, SCR-094, SCR-095, SCR-104, and every screen|E-12|01|Four different empty messages; one refusal catalogue; every time through one clock service in the organisation's zone, with as-at stamped on every metric surface|not started|D-021|||
06|Source library close-out|M-02|SCR-053|E-14|01,05|The library pages and filters server side, shows shortTitle not full titles, states its department scope, and has a designed empty state. The orphaned Sources.tsx is deleted|not started|D-020,D-030|||R-008
07|Instrument detail close-out|M-02|SCR-055|E-14,E-16|06|Summary, applicability and the provision list render from the database. The orphaned SourceInstrumentDetail.tsx is deleted|not started|D-014,D-030|||R-009
08|Provision decisions and flags|M-02|SCR-056|E-16,E-17|07|A blocking flag refuses promotion by name; resolving it by linking the answering provision unblocks it; all three decided states record actor, timestamp and basis|not started|D-014|DN-015||R-010
09|Clause detail, penalties and severity|M-02|SCR-057, SCR-058, SCR-086, SCR-103|E-18,E-19,E-20|08|Severity is derived from the sourced penalty tiers and cannot be typed. The orphaned /sources/section/:id route and SourceSectionDetail.tsx are deleted|not started|D-005,D-030|DN-008|ER-004|R-011,R-012,R-013
10|Supersession and text drift|M-02|SCR-055|E-14,E-15,E-18|09|A new version arrives, the banner points both ways, prior decisions stay bound to the prior version, and a changed source text flags the clause it underpins|not started||||R-009
11|Manual instrument entry|M-02|SCR-054, GAP-SCR-007|E-14,E-16|10|Manual entry is a complete path, not a degraded one, and an extraction can be rejected wholesale|not started||||R-008
12|Control library|M-04|SCR-020|E-24,E-26|09|One register, server paged, showing derived result and the count of clauses satisfied|not started|D-009|||R-018
13|Control detail, one screen|M-04|SCR-021 to SCR-025|E-24,E-25|12|The dual renderer in ControlDetail.tsx becomes one screen over one data source, with clauses satisfied grouped by act|not started|D-001|||R-019
14|Control tests|M-04|SCR-021, SCR-023|E-27|13|A test history exists; a Fail raises an issue automatically; a Partial is in neither side of the pass rate; an untested control is counted separately as lapsed|not started|D-009,D-027|||R-019
15|Continuous monitoring|M-04|SCR-026, SCR-027|E-28,E-29,E-30|14|A rule runs against a feed, captures itself as evidence, raises one issue naming the failing items, and reads Degraded rather than Passing when the feed cannot be reached|not started||||R-020,R-021
16|Obligation register|M-03|SCR-043 to SCR-047|E-21,E-22|13|Every duty, internal and external, in one register, with overdue derived and the duty-coverage denominator visible|not started|D-004,D-009,D-011,D-012||ER-010|R-015
17|Obligation detail close-out|M-03|SCR-049|E-21,E-22|16|The cycle ledger, the maker and checker chain, the provenance link and the fired ladder rungs render from the database. The orphaned ObligationDetail.tsx is deleted|not started|D-004,D-030|||R-016
18|Task detail and evidence guidance|M-03|SCR-050|E-23,E-31|17,03|Guidance on what good proof looks like is shown before the maker attaches; submission is refused with nothing attached; the return reason is part of the record|not started|D-003||ER-006|R-017,R-024
19|Recurrence|M-03|SCR-043, SCR-049|E-22|18,02|Approving a monthly duty schedules next month's cycle with cleared evidence, records this cycle as on time or late, and never closes a missed one|not started|D-011|||R-016
20|The one calendar|M-03|SCR-048, GAP-SCR-001|E-22|19|Every dated thing on one timeline: cycles, committee meetings, test cadences, policy reviews, audit quarters, campaign dues, expiries, refresh dates and live clocks|not started|||ER-001,ER-002|R-005
21|Evidence vault|M-05|SCR-068, SCR-069|E-31,E-32,E-33|18,03|The same artifact is found from the task, the control, the obligation and the vault; capture method is visible; verification records what was checked|not started|||ER-005|R-022,R-023
22|Policies and versions|M-10|SCR-035, SCR-036|E-55,E-56|21|Publishing at a new version does not carry prior acknowledgements forward, and the attestation rate falls accordingly|not started|D-019|||R-040,R-041
23|Issues|M-07|SCR-066, SCR-067|E-45|21|Every source raises into one register; age is derived; ageing bands and the oldest item replace the mean|not started|D-002,D-010|||R-030,R-031
24|Exceptions|M-07|SCR-066, GAP-SCR-003|E-46|23|A proactive exception with no issue; an expired one that stays loud with no shadow issue; a second renewal refused below the Executive|not started|D-002||ER-009|R-030,R-032
25|Risk register and detail|M-06|SCR-011, SCR-013, SCR-019|E-34,E-35|24|The register and the detail agree because both read one derived stage function|not started|D-007|DN-009||R-025,R-026,R-027
26|Treatment, actions and approval|M-06|SCR-014, SCR-016, SCR-017, SCR-018|E-36,E-37,E-38,E-39,E-40|25|Approval is refused while an action is open, and permitted once they land; the projected residual sits beside the current one|not started||||R-026
27|Indicators|M-06|SCR-012, SCR-015|E-42,E-43|25|A higher-is-worse and a lower-is-worse indicator both breach correctly, and a stale one reads unknown rather than green|not started||||R-029
28|Acceptance and appetite|M-06|SCR-018, GAP-SCR-002|E-41,E-44|26,02|An acceptance approved by someone other than the owner, chased from thirty days out, lapsing into an open escalating exposure|not started|D-007||ER-008|R-028
29|Audit plan|M-09|SCR-063|E-52|24|Delivery is entries complete over entries due to date, never the full-year total|not started||||R-038
