M-01|Platform|The scaffold every other module stands on: who is acting, what they may do, what is written down, and the shell the screens live in|n/a|n/a|every module|00,01,02,03,04,05|ENG-01,ENG-06,ENG-07,ENG-09,ENG-10,ENG-14,ENG-15|D-001,D-005,D-012,D-015,D-016,D-017,D-018,D-020,D-028,D-029|DN-001,DN-002,DN-003,DN-005,DN-007|ER-003
M-02|Source|Turn law into tracked, owned, evidenced controls, with the clause as the unit|source|M-01|M-16,M-15|06,07,08,09,10,11|ENG-08,ENG-11|D-005,D-014,D-030|DN-008,DN-015|ER-004
M-03|Duty|One place for every duty, however it arose, and a screen simple enough for an occasional user|duty|M-01,M-02,M-04|M-16,M-14|16,17,18,19,20|ENG-01,ENG-02,ENG-09|D-003,D-004,D-011,D-012,D-030||ER-001,ER-002,ER-010
M-04|Control|Make the control the reusable, evidenced unit that satisfies many duties, and let a monitored one test itself|control|M-01,M-02|M-16,M-15,M-14|12,13,14,15|ENG-03,ENG-05,ENG-08|D-009,D-027||
M-05|Evidence|One place where proof lives and links back to the duties and controls it supports|evidence|M-01,M-03,M-04|M-16|21|ENG-05|D-021||ER-005,ER-006
M-06|Risk|A connected risk picture whose ratings are grounded in consequence and whose stage is derived from the work actually done|risk|M-01,M-04,M-07|M-16,M-15,M-14|25,26,27,28|ENG-01,ENG-02,ENG-13|D-007|DN-009|ER-008
M-07|Remediation|Make every weakness owned, dated and closed, and every approved deviation visible beside them|remediation|M-01,M-04|M-16,M-15|23,24|ENG-01,ENG-03|D-002,D-010||ER-009
M-08|Incident|Run a multi-regulator incident response coherently from one place|incident|M-04,M-06,M-07|M-16,M-10|31,32|ENG-01,ENG-04,ENG-05,ENG-09|D-026|DN-013|
M-09|Assurance|The third line's workspace: plan, test, find, follow up|assurance|M-01,M-04,M-05,M-07|M-16,M-15,M-06|29,30|ENG-03,ENG-05|D-010,D-022||
M-10|Policy|Connect a policy to the controls and the evidence that operationalise it|policy|M-02,M-03,M-04|M-16,M-14,M-15|22|ENG-01,ENG-08|D-019||
M-11|Campaign|Run periodic cycles that actually move the registers|campaign|M-03,M-06,M-10,M-12|M-14,M-08|35,36,37|ENG-01,ENG-02,ENG-12|D-019,D-025||ER-007
M-12|Third party|Make outsourcing exposure a computed fact rather than an opinion|third-party|M-01,M-04,M-06|M-14,M-15,M-16|34|ENG-01|D-021|DN-010,DN-011|
M-13|Regulatory change|Keep the firm current and route changes to the right people|reg-change|M-02,M-03,M-04,M-10|M-06,M-08,M-14,M-15|33|ENG-11|||
M-14|Investigations|Two intakes that meet only at the platform level: one exists to protect a person, one exists to process data|investigations|M-01,M-06,M-07,M-08|M-10,M-11,M-12,M-13,M-15|40,41,42|ENG-01,ENG-03,ENG-04,ENG-06|D-006,D-023|DN-012|
M-15|Data governance|Manage data duties in the same fabric as everything else|data-governance|M-01,M-03|M-02,M-04,M-06,M-07,M-09,M-10,M-11,M-12,M-13,M-14,M-16|38,39|ENG-01,ENG-02|D-024||
M-16|Administration|Configure the platform, and prove the platform governs itself|administration|M-01|every module|43,44,45|ENG-06,ENG-07|D-017,D-018|DN-014|ER-011
M-17|Personal|Tell each person what is theirs, and give each altitude the picture it needs|n/a|every module it summarises|nothing|49,50,51,52|ENG-13,ENG-14|D-008,D-013,D-021|DN-016|ER-003
M-18|Sector pack|Give a sector its tailored home without fragmenting the shared model, and turn committee preparation into a view|pack|every module whose sections it composes|nothing|46,47,48|ENG-05,ENG-13|D-021|DN-004|
